id,section,current_en,draft_en,ru,pt,es,status,note
psb_019,platform.eor,Hire and pay employees (EoR),1. Hire and pay employees (EoR),1. Принимайте на работу сотрудников и выплачивайте им зарплату (официальный работодатель),1. Contratar e pagar funcionários (EoR),1. Contrata y paga a los empleados (EoR),format_diff,Current page omits leading “1.”
psb_020,platform.eor,Full-time recruitment without opening legal entities abroad,Full-time recruitment without opening legal entities and hiring legal and accounting consultants abroad.,Подбор персонала на полную ставку без создания юридических лиц и привлечения юридических и бухгалтерских консультантов за рубежом.,Contratação full-time sem abrir entidades legais nem contratar consultores jurídicos e contabilísticos no estrangeiro.,Contratación a tiempo completo sin necesidad de constituir entidades jurídicas ni contratar asesores legales y contables en el extranjero.,text_differs,Current page is shorter than draft
psb_021,platform.eor,Recruit internationally without hiring legal and accounting consultants in every new country,,,,,missing_in_draft,Current page extra card description
psb_022,platform.eor,Employer of Record: Garna becomes the official employer for your employees in 150+ countries,* Employer of Record: We become the official employer for your employees in 150+ countries.,* Официальный работодатель: Мы выступаем в качестве официального работодателя для ваших сотрудников в более чем 150 странах.,* Employer of Record: tornamo-nos o empregador oficial dos seus funcionários em mais de 150 países.,* Empleador de referencia: nos convertimos en el empleador oficial de tus empleados en más de 150 países.,text_differs,Draft says “We become…”
psb_023,platform.eor,"Taxes and benefits: We calculate contributions, health insurance, and pension payments according to local laws","* Taxes and benefits: We take care of the calculation of contributions, health insurance and pension contributions according to local laws.",* Налоги и льготы: Мы берем на себя расчет взносов на медицинское страхование и пенсионное обеспечение в соответствии с местным законодательством.,"* Impostos e benefícios: tratamos do cálculo de contribuições, seguros de saúde e contribuições para pensões de acordo com as leis locais.","* Impuestos y prestaciones: Nos encargamos del cálculo de las cotizaciones, el seguro médico y las aportaciones a la pensión de acuerdo con la legislación local.",text_differs,Current wording is slightly shorter
psb_024,platform.eor,100% compliance: Employment contracts and reports are executed accurately and available at any time,* 100% Compliance: All employment contracts and reports are executed flawlessly and are available to you at any time.,* 100% соответствие требованиям: все трудовые договоры и отчеты оформлены безупречно и доступны вам в любое время.,* 100% de conformidade: todos os contratos e relatórios são executados corretamente e ficam disponíveis para si a qualquer momento.,* Cumplimiento al 100 %: Todos los contratos de trabajo y los informes se gestionan a la perfección y están a su disposición en cualquier momento.,text_differs,Draft says “flawlessly”
psb_025,platform.cor,Pay contractors and freelancers (CoR),2. Pay contractors and freelancers (CoR),2. Оплата услуг подрядчиков и фрилансеров (официальный подрядчик),2.  Pagar contratados e freelancers (CoR),2. Pago a contratistas y autónomos (CoR),format_diff,Current page omits leading “2.”
psb_026,platform.cor,Scale payments to team members in one click wherever they are.,Scale payments to team members in one click wherever they are.,"Управляйте выплатами членам команды одним щелчком мыши, где бы они ни находились.","Escalone pagamentos para membros da equipa com um clique, independentemente de onde estejam.","Realiza pagos a los miembros del equipo con un solo clic, estén donde estén.",exact,
psb_027,platform.cor,"Keep contractor payments clean, flexible, and documented from the first invoice to the final receipt",,,,,missing_in_draft,Current page extra card description
psb_028,platform.cor,"Flexible payments: Pay via SWIFT, SEPA, or crypto so your performers receive money conveniently","* Flexible payments: Pay via SWIFT, SEPA or in the crypto. Your performers can receive money in a convenient way.","* Гибкие способы оплаты: оплата через SWIFT, SEPA или в криптовалюте. Ваши исполнители могут получать деньги удобным для них способом.","* Pagamentos flexíveis: pague via SWIFT, SEPA ou criptomoedas. Os seus colaboradores podem receber da forma mais conveniente.","* Pagos flexibles: Paga a través de SWIFT, SEPA o en criptomonedas. Tus colaboradores pueden recibir el dinero de forma cómoda.",text_differs,Draft splits into two sentences and says “in the crypto”
psb_029,platform.cor,Auto-invoicing: No more manual billing. The system generates invoices automatically,* Auto-invoicing: No more billing. The system generates invoices automatically.,* Автоматическое создание инвойсов: больше никаких ручных расчетов. Система автоматически формирует инвойсы.,* Faturação automática: sem necessidade de criar faturas manualmente. O sistema gera-as automaticamente.,* Facturación automática: Se acabó la facturación manual. El sistema genera las facturas automáticamente.,text_differs,Draft says “No more billing”
psb_030,platform.cor,IP protection: Intellectual property rights transfer to you automatically with each payment,* IP protection: Automatic transfer of intellectual property rights to you with each payment.,* Защита интеллектуальной собственности: автоматическая передача прав на интеллектуальную собственность вам при каждом платеже.,* Proteção de propriedade intelectual: transferência automática de direitos de propriedade intelectual para si em cada pagamento.,* Protección de la propiedad intelectual: transferencia automática de los derechos de propiedad intelectual a tu nombre con cada pago.,text_differs,Draft starts “Automatic transfer…”
psb_031,steps,Four steps,,,,,missing_in_draft,Section tag is not present in draft
psb_032,steps,How Payroll Works for Small Companies,How Payroll Works for Small Companies,Как устроена система оплаты труда для малых компаний,Como funciona o payroll para pequenas empresas,Cómo funciona la gestión de nóminas para pequeñas empresas,exact,
psb_033,steps,Why does a small business choose us? The whole process takes 4 steps,Why does a small business choose us? The whole process takes 4 steps:,Почему малый бизнес выбирает нас? Весь процесс состоит из 4 этапов:,Porque escolhem pequenas empresas a Garna? Todo o processo demora apenas 4 passos:,¿Por qué nos eligen las pequeñas empresas? El proceso completo consta de 4 pasos:,punctuation_diff,Current page has no colon
psb_034,steps,Set up an account: Create a company profile and go through a quick verification process,1. Set up an account. Create a company profile and go through a quick verification process.,1. Создайте учетную запись. Создайте профиль компании и пройдите быструю процедуру верификации.,5. Configure uma conta. Crie o perfil da empresa e conclua um rápido processo de verificação.,1. Crea una cuenta. Crea un perfil de empresa y sigue un rápido proceso de verificación.,format_diff,Current page separates title and description
psb_035,steps,Add your team: Invite employees (EoR) or contractors (CoR) and assign them roles,2. Add your team. Invite employees (EoR) or contractors (CoR) and assign them roles.,2. Добавьте свою команду. Пригласите сотрудников (официальный работодатель) или подрядчиков (официальный подрядчик) и назначьте им роли.,6. Adicione a sua equipa.Convide funcionários (EoR) ou contratados (CoR) e atribua funções.,2. Añade a tu equipo. Invita a empleados (EoR) o contratistas (CoR) y asígnales funciones.,format_diff,Current page separates title and description
psb_036,steps,Top up your balance: Transfer funds to your Garna account in a convenient way,3. Top up your balance. Transfer funds to your account in a convenient way.,3. Пополните баланс. Пополняйте свой счет любым удобным способом.,7. Adicione fundos ao saldo. Transfira fundos para a conta da forma mais conveniente.,3. Recarga tu saldo. Transfiere fondos a tu cuenta de forma cómoda.,text_differs,Draft says “your account”
psb_037,steps,"Start making payments: One click sends money to the whole team, including all taxes","4. Start making payments. One click, and the money is sent to the entire team, including all taxes.",4. Начните осуществлять выплаты. Один клик — и деньги отправляются всей команде с учетом всех налогов.,"8. Comece a efetuar pagamentos. Um clique — e o dinheiro é enviado para toda a equipa, incluindo todos os impostos.","4. Empieza a realizar pagos. Con un solo clic, el dinero se envía a todo el equipo, incluidos todos los impuestos.",text_differs,Draft sentence differs slightly
psb_038,why,Why Garna,,,,,missing_in_draft,Section tag is not present in draft
psb_039,why,Why Small Businesses Choose Payroll Solution by Garna,Why Small Businesses Choose Payroll Solution by Garna,Почему малые предприятия выбирают решение оплаты труда от Garna,Porque pequenas empresas escolhem a solução de payroll da Garna,Por qué las pequeñas empresas eligen la solución de nóminas de Garna,exact,
psb_040,why,"Our advantages save you time, money, and operational focus",Our advantages that save you time and money.,"Наши преимущества, которые помогут вам сэкономить время и деньги.",As nossas vantagens que ajudam a poupar tempo e dinheiro.,Nuestras ventajas que te ahorran tiempo y dinero.,text_differs,Draft says “time and money” only
psb_041,why,Reducing the admin by 70%: Automated contracts and calculations free you from routine documentation,* Reducing the admin by 70%: Automated contracts and calculations free you from working with documentation.,* Сокращение административной нагрузки на 70 %: автоматизация составления договоров и расчетов избавит вас от необходимости заниматься бумажной работой.,* Redução de 70% do trabalho administrativo: contratos e cálculos automatizados libertam-no do trabalho documental.,* Reducción de la carga administrativa en un 70 %: los contratos y cálculos automatizados te liberan del trabajo con la documentación.,text_differs,Draft says “working with documentation”
psb_042,why,"Transparent reporting: Contracts, invoices, and transactions are available in one service","* Transparent reporting: All contracts, invoices, and transactions are available in one place within the service.","* Прозрачная отчетность: все договоры, инвойсы и транзакции доступны в одном месте в рамках сервиса.","* Relatórios transparentes: todos os contratos, faturas e transações ficam disponíveis num único lugar.","* Informes transparentes: todos los contratos, facturas y transacciones están disponibles en un solo lugar dentro del servicio.",text_differs,Draft says “one place within the service”
psb_043,why,"No hidden fees: Clear, transparent pricing adapted to a small business budget","* No hidden fees: Clear and transparent pricing, adapted to your budget.","* Без скрытых комиссий: понятная и прозрачная ценовая политика, адаптированная к вашему бюджету.","* Sem taxas ocultas: preços claros e transparentes, adaptados ao seu orçamento.","* Sin comisiones ocultas: precios claros y transparentes, adaptados a tu presupuesto.",text_differs,Draft says “your budget”
psb_044,why,Scalability via API: Launch mass payouts automatically as your business grows,* Scalability via API: Launch mass payouts automatically as your business grows.,* Масштабируемость через API: автоматически запускайте массовые выплаты по мере роста вашего бизнеса.,* Escalabilidade através de API: lance pagamentos em massa automaticamente à medida que a empresa cresce.,* Escalabilidad a través de API: Realiza pagos masivos de forma automática a medida que tu negocio crece.,exact,
psb_045,why,24/7 support: A personal team of experts stays in touch with you and your team,* 24/7 support: Our personal team of experts is always in touch with you and your team.,* Круглосуточная поддержка: наша команда специалистов всегда на связи с вами и вашей командой.,* Suporte 24/7:  a nossa equipa pessoal de especialistas está sempre disponível para si e para a sua equipa.,* Asistencia 24/7: nuestro equipo personal de expertos está siempre en contacto contigo y con tu equipo.,text_differs,Draft says “Our personal team…”
psb_046,testimonials,Growing teams,,,,,missing_in_draft,Section tag is not present in draft
psb_047,testimonials,Trusted by Growing Small Businesses,Trusted by Growing Small Businesses,Нам доверяют растущие малые предприятия,Escolhido por pequenas empresas em crescimento,Cuenta con la confianza de pequeñas empresas en crecimiento,exact,
psb_048,testimonials,"Emma Torres / Founder, Loomline Studio",,,,,do_not_translate,Name and profession stay as-is. Quote translation is not in draft and should be handled only if testimonials are localized later.
psb_049,testimonials,"Michael Chen / Operations Lead, BrightCart",,,,,do_not_translate,Name and profession stay as-is. Quote translation is not in draft and should be handled only if testimonials are localized later.
psb_050,testimonials,"Sofia Marin / People Partner, Northstar Analytics",,,,,do_not_translate,Name and profession stay as-is. Quote translation is not in draft and should be handled only if testimonials are localized later.
psb_051,draft-only,Customer Success Stories,Customer Success Stories,Истории успеха наших клиентов,Histórias de sucesso dos clientes,Historias de éxito de clientes,draft_only,No current page block found
psb_052,draft-only,Cases,Кейсы,Кейсы,Кейсы,Кейсы,draft_only,No current page block found
psb_053,faq,FAQ on Small Business Payroll,FAQ on Small Business Payroll,Часто задаваемые вопросы об оплате труда для малого бизнеса,FAQ sobre payroll para pequenas empresas,Preguntas frecuentes sobre la nómina para pequeñas empresas,exact,
psb_054,faq,How can I hire an employee abroad without opening my own local legal entity?,How can I hire an employee abroad without opening my own local legal entity?,"Как я могу нанять сотрудника за рубежом, не открывая собственного юридического лица в этой стране?",Como posso contratar um funcionário no estrangeiro sem abrir uma entidade legal local?,¿Cómo puedo contratar a un empleado en el extranjero sin crear mi propia entidad jurídica local?,exact,
psb_055,faq,"To do this, we use the Employer of Record model. You delegate the legal side of hiring to us. Garna is an official employer in 150+ countries, so you do not have to spend months and thousands of dollars registering a company in another country.","To do this, we use the Employer of Record model. You delegate the legal side of hiring to us. Garna is an official employer in 150+ countries, so you don't have to spend months and thousands of dollars to register a company in another country.","Для этого мы используем модель «официального работодателя». Вы поручаете нам решение юридических вопросов, связанных с наймом персонала. Garna является официальным работодателем в более чем 150 странах, поэтому вам не придется тратить месяцы и тысячи долларов на регистрацию компании в другой стране.","Para isso utilizamos o modelo Employer of Record. Delega toda a parte legal da contratação na Garna. Somos empregador oficial em mais de 150 países, pelo que não terá de gastar meses nem milhares de dólares a abrir empresas noutros países.","Para ello, utilizamos el modelo de «empleador oficial». Tu nos delegas los aspectos legales de la contratación. Garna es un empleador oficial en más de 150 países, por lo que no tienes que dedicar meses ni gastar miles de dólares para registrar una empresa en otro país.",text_differs,Current page uses “do not/registering”; draft uses “don’t/to register”
psb_056,faq,How much does payroll cost for a small company?,How much does payroll cost for a small company?,Сколько стоит оплата труда для небольшой компании?,Quanto custa payroll para uma pequena empresa?,¿Cuánto cuesta la gestión de nóminas para una pequeña empresa?,exact,
psb_057,faq,Garna offers a transparent pay-as-you-go model. You only pay for the people you actually pay. It is convenient when your team is small.,Garna offers a transparent pay-as-you-go model. You only pay those to whom you actually make payments. It's convenient if your team is small.,"Garna предлагает прозрачную модель с оплатой по факту использования. Вы платите только тем, кому действительно осуществляете платежи. Это удобно, если ваша команда небольшая.",A Garna oferece um modelo transparente pay-as-you-go. Paga apenas pelas pessoas a quem realmente efetua pagamentos. É ideal para equipas pequenas.,Garna ofrece un modelo transparente de pago por uso. Solo pagas a aquellos a quienes realmente realizas pagos. Es muy práctico si tu equipo es pequeño.,text_differs,Current page wording differs
psb_058,faq,Why is Garna payroll better than local legal entities?,Why is Garna payroll better than local legal entities?,"Почему оплата труда через Garna выгоднее, чем через местные юридические лица?",Porque é que o payroll da Garna é melhor do que entidades legais locais?,¿Por qué la nómina de Garna es mejor que las entidades jurídicas locales?,exact,
psb_059,faq,"When hiring 1-10 employees, opening a local entity and hiring legal or accounting specialists can be expensive. With Garna payroll, you pay per employee, keep costs lean, and reduce the risk of fines from incorrect taxes or missing documents.","When hiring 1-10 employees opening a local legal entity, hiring legal and accounting specialists or firms can be expensive. With Garna payroll you pay only per employee, it helps you keep the cost lean while hiring anywhere in the world. You also mitigate the risk of running into fines for incorrect taxes or missing documents if you do everything on your own. Garna automates compliance, saving you time on documentation.","При найме от 1 до 10 сотрудников и открытии местного юридического лица услуги юристов и бухгалтеров или соответствующих фирм могут обойтись дорого. С системой оплаты труда Garna вы платите за каждого сотрудника отдельно, что позволяет вам минимизировать расходы при найме сотрудников в любой точке мира. Кроме того, вы снижаете риск получить штрафы за неправильно рассчитанные налоги или отсутствующие документы, если будете действовать самостоятельно. Garna автоматизирует соблюдение требований, что позволяет сэкономить время на оформлении документов.","Ao contratar entre 1 e 10 funcionários, abrir uma entidade legal local e contratar especialistas jurídicos e contabilísticos pode ser muito caro. Com a Garna, paga apenas por funcionário, mantendo os custos reduzidos enquanto contrata globalmente. Além disso, reduz o risco de multas relacionadas com impostos incorretos ou documentos em falta. A Garna automatiza a conformidade e poupa tempo com documentação.","Al contratar de 1 a 10 empleados y abrir una entidad jurídica local, contratar a especialistas o despachos de abogados y contables puede resultar caro. Con la nómina de Garna, solo pagas por empleado, lo que te ayuda a mantener los costes bajos mientras contratas en cualquier parte del mundo. También reduces el riesgo de recibir multas por impuestos incorrectos o documentos que faltan si lo haces todo por tu cuenta. Garna automatiza el cumplimiento normativo, ahorrándote tiempo en la documentación.",text_differs,Draft answer is longer
psb_060,faq,What taxes do I need to file?,What taxes do I need to file?,Какие налоговые декларации мне нужно подать?,Que impostos preciso declarar?,¿Qué impuestos tengo que declarar?,exact,
psb_061,faq,"With Garna, you do not need to worry about taxes. When you use the Garna EoR solution, we calculate everything automatically.","With Garna, you don't need to worry about taxes. When using the Garna EoR solution, we calculate everything automatically.",С Garna вам не нужно беспокоиться о налогах. При использовании услуги Garna «Официальный работодатель» все расчеты производятся автоматически.,"Com a Garna, não precisa preocupar-se com impostos. Ao utilizar a solução EoR, calculamos tudo automaticamente.","Con Garna, no tienes que preocuparte por los impuestos. Al utilizar la solución EoR de Garna, lo calculamos todo automáticamente.",text_differs,Current page avoids contraction and says “When you use”
psb_062,faq,Can I pay contractors and employees in one system?,Can I pay contractors and employees in one system?,Можно ли в одной системе выплачивать зарплату подрядчикам и сотрудникам?,Posso pagar contratados e funcionários no mesmo sistema?,¿Puedo pagar a contratistas y empleados en un mismo sistema?,exact,
psb_063,faq,Yes. This is the main advantage of Garna. You manage a global team in one interface and split payments into official salaries for staff and royalties for freelancers.,Yes. This is the main advantage of Garna. You manage a global team in one interface and split payments into official salaries (for staff) and royalties (for freelancers).,Да. В этом заключается главное преимущество Garna. Вы управляете международной командой через единый интерфейс и разделяете выплаты на официальную заработную плату (для штатных сотрудников) и гонорары (для фрилансеров).,Sim. Esta é uma das principais vantagens da Garna. Gere equipas globais numa única interface e separa pagamentos entre salários oficiais e royalties para freelancers.,Sí. Esta es la principal ventaja de Garna. Gestionas un equipo global en una sola interfaz y divides los pagos en salarios oficiales (para el personal) y honorarios (para los autónomos).,text_differs,Current page omits parentheses
psb_064,finalCta,Get Started With Garna Payroll Today,Get Started With Garna Payroll Today,Начните пользоваться системой оплаты труда Garna уже сегодня,Comece hoje com o Garna Payroll,Empieza hoy mismo a utilizar Garna Payroll,exact,
psb_065,finalCta,Optimize your payroll and focus on business growth today. Join thousands of popular companies that have already automated their global payouts,Optimize your payroll and focus on business growth today. Join thousands of popular companies that have already automated their global payouts.,"Оптимизируйте расчет заработной платы и сосредоточьтесь на развитии бизнеса уже сегодня. Присоединяйтесь к тысячам известных компаний, которые уже автоматизировали свои международные выплаты.",Otimize o seu payroll e concentre-se no crescimento do negócio. Junte-se a milhares de empresas que já automatizaram pagamentos globais.,Optimiza tu gestión de nóminas y céntrate en el crecimiento de tu negocio hoy mismo. Únete a miles de empresas de renombre que ya han automatizado sus pagos internacionales.,punctuation_diff,Current page has no final period
psb_066,finalCta,Sign up for a free demo,[Sign up for a free demo],[Зарегистрируйтесь для пробной версии],[Registar para uma demo gratuita],[Regístrate para obtener una demostración gratuita],format_diff,Document has CTA in brackets
