index,section,target,en,ru,es,pt,status
40,Why Companies Choose Garna,why.tabs.onboarding.label,Onboarding,Адаптация новых сотрудников,Incorporación,Onboarding,mapped_by_draft_order
41,Why Companies Choose Garna,why.tabs.onboarding.title,Automating International Employee Onboarding,Автоматизация процесса адаптации иностранных сотрудников,Automatización de la incorporación de empleados internacionales,Automatização do onboarding internacional de funcionários,mapped_by_draft_order
42,Why Companies Choose Garna,why.tabs.onboarding.problem,Onboarding a new employee can be a challenge when hiring from different places around the world.,Адаптация нового сотрудника может стать сложной задачей при найме персонала из разных уголков мира.,La incorporación de un nuevo empleado puede ser un reto cuando se contrata desde diferentes lugares del mundo.,O onboarding de um novo funcionário pode ser um desafio quando se contrata pessoas de diferentes partes do mundo.,mapped_by_draft_order
43,Why Companies Choose Garna,why.tabs.onboarding.solution,"Garna makes international employee onboarding simpler with special workflows that make sure everything is done the right way in each country. Instead of having to deal with different systems and paperwork, you can on-board employees all over the world through one platform and cut down on all the manual HR work.","Garna упрощает процесс адаптации иностранных сотрудников благодаря специальным рабочим процессам, которые гарантируют, что все процедуры выполняются в соответствии с требованиями каждой страны. Вместо того чтобы иметь дело с разными системами и бумажной волокитой, вы можете оформлять сотрудников по всему миру через единую платформу и сократить объем ручной работы в отделе кадров.","Garna simplifica la incorporación de empleados internacionales con flujos de trabajo específicos que garantizan que todo se haga correctamente en cada país. En lugar de tener que lidiar con diferentes sistemas y trámites, puedes incorporar a empleados de todo el mundo a través de una sola plataforma y reducir todo el trabajo manual de RR. HH.","A Garna torna o onboarding internacional mais simples através de workflows especiais que garantem que tudo é feito corretamente em cada país. Em vez de lidar com diferentes sistemas e documentação, pode integrar funcionários em todo o mundo através de uma única plataforma e reduzir significativamente o trabalho manual de RH.",mapped_by_draft_order
44,Why Companies Choose Garna,why.tabs.documents.label,Documents,Документы,Documentos,Documentos,mapped_by_draft_order
45,Why Companies Choose Garna,why.tabs.documents.title,Centralizing Contracts and Compliance Documentation,Централизация договоров и документации по обеспечению соответствия,Centralización de contratos y documentación de cumplimiento,Centralização de contratos e documentação de conformidade,mapped_by_draft_order
46,Why Companies Choose Garna,why.tabs.documents.problem,"Trying to keep track of all different contracts, tax forms, payroll records, and compliance documents can be as much of a nightmare as an operational risk for any international team.","Отслеживание всех различных договоров, налоговых форм, документов по начислению зарплаты и соблюдению нормативных требований может стать настоящим кошмаром и представлять собой операционный риск для любой международной команды.","Intentar llevar un control de todos los diferentes contratos, formularios fiscales, registros de nóminas y documentos de cumplimiento normativo puede ser tanto una pesadilla como un riesgo operativo para cualquier equipo internacional.","Tentar acompanhar diferentes contratos, formulários fiscais, registos de payroll e documentos de conformidade pode transformar-se tanto num pesadelo operacional como num risco para qualquer equipa internacional.",mapped_by_draft_order
47,Why Companies Choose Garna,why.tabs.documents.solution,"Garna makes it easy to keep everything in one place with our secure platform, so you can manage international employment compliance and all the workflows for your global HR operations on your distributed teams with less hassle.","Garna позволяет легко хранить всю информацию в одном месте на нашей защищенной платформе, благодаря чему вы сможете с меньшими затратами управлять соблюдением международных трудовых норм и всеми рабочими процессами в рамках глобальной кадровой деятельности ваших разрозненных команд.","Garna facilita mantener todo en un solo lugar gracias a nuestra plataforma segura, para que puedas gestionar el cumplimiento normativo laboral internacional y todos los flujos de trabajo de tus operaciones globales de RR. HH. en tus equipos distribuidos con menos complicaciones.","A Garna facilita manter tudo num único lugar através da nossa plataforma segura, para que possa gerir conformidade internacional e todos os workflows globais de RH das suas equipas distribuídas com menos complicações.",mapped_by_draft_order
48,Why Companies Choose Garna,why.tabs.payroll.label,Payroll,Оплата труда,Nóminas,Payroll,mapped_by_draft_order
49,Why Companies Choose Garna,why.tabs.payroll.title,Running Your Global Payroll Without All the Stress,Управление международной системой оплаты труда без лишних хлопот,Gestiona tu nómina global sin estrés,Gerir payroll global sem todo o stress,mapped_by_draft_order
50,Why Companies Choose Garna,why.tabs.payroll.problem,Getting payroll right for employees all over the world and dealing with different currencies and tax rules is one of the most headache-inducing bits about taking a business global.,"Правильное начисление зарплаты сотрудникам по всему миру, а также работа с различными валютами и налоговыми правилами — это одна из самых сложных задач при выходе бизнеса на международный рынок.",Gestionar correctamente las nóminas de los empleados de todo el mundo y lidiar con diferentes divisas y normas fiscales es uno de los aspectos más complicados de la internacionalización de una empresa.,Garantir payroll correto para funcionários em todo o mundo e lidar com diferentes moedas e regras fiscais é uma das partes mais complicadas da expansão internacional de um negócio.,mapped_by_draft_order
51,Why Companies Choose Garna,why.tabs.payroll.solution,"Garna eases the pain of managing international payroll by setting up automated workflows. With our system, your company can pay people all around the world quickly while excluding payroll errors and extra work.","Garna упрощает процесс управления оплатой труда сотрудников в разных странах за счет внедрения автоматизированных рабочих процессов. С помощью нашей системы ваша компания сможет быстро выплачивать заработную плату сотрудникам по всему миру, исключив при этом ошибки в расчетах и лишнюю работу.","Garna alivia la carga de gestionar la nómina internacional mediante la configuración de flujos de trabajo automatizados. Con nuestro sistema, tu empresa puede pagar a personas de todo el mundo rápidamente, evitando errores en la nómina y trabajo extra.","A Garna reduz a complexidade da gestão de payroll internacional através de workflows automatizados. Com o nosso sistema, a sua empresa pode pagar rapidamente a pessoas em todo o mundo, eliminando erros de payroll e trabalho adicional.",mapped_by_draft_order
52,Why Companies Choose Garna,why.tabs.timeOff.label,Time Off and Expenses,Отпуска и расходы,Permisos y gastos,Férias e despesas,mapped_by_draft_order
53,Why Companies Choose Garna,why.tabs.timeOff.title,Bringing Your Leave and Expenses Policies into One Central Place,Единая система учета отпусков и расходов,Centraliza tus políticas de vacaciones y gastos,Centralizar políticas de férias e despesas num único lugar,mapped_by_draft_order
54,Why Companies Choose Garna,why.tabs.timeOff.solution,"Leave rules, reimbursement policies, and other requirements vary from country to country, making it a real challenge for HR and finance teams to follow it accurately. Garna lets you handle leave and expenses for your international teams in a single, easy-to-use system.","Правила отпуска, порядок возмещения расходов и другие требования различаются в зависимости от страны, что затрудняет их точное соблюдение для отделов кадров и финансов. Garna позволяет вам управлять отпусками и расходами ваших международных команд в рамках единой и удобной системы.","Las normas sobre permisos, las políticas de reembolso y otros requisitos varían de un país a otro, lo que supone un verdadero reto para que los equipos de RR. HH. y finanzas las cumplan con precisión. Garna te permite gestionar los permisos y los gastos de tus equipos internacionales en un único sistema fácil de usar.","As regras de férias, políticas de reembolso e outros requisitos variam de país para país, tornando difícil para equipas de RH e financeiras gerir tudo corretamente. A Garna permite gerir férias e despesas das suas equipas internacionais através de um único sistema simples de utilizar.",mapped_by_draft_order
55,Why Companies Choose Garna,why.tabs.reporting.label,Reporting,Отчетность,Informes,Relatórios,mapped_by_draft_order
56,Why Companies Choose Garna,why.tabs.reporting.title,Getting A Clear View Of Your Global Workforce,Получение четкого представления о вашем международном коллективе,Obtenga una visión clara de su plantilla global,Obter uma visão clara da sua força de trabalho global,mapped_by_draft_order
57,Why Companies Choose Garna,why.tabs.reporting.problem,"Garna offers clear visibility across payroll, compliance, onboarding, and workforce costs if you want to manage HR operations efficiently.","Garna обеспечивает полную прозрачность процессов оплаты труда, соблюдения нормативных требований, адаптации новых сотрудников и расходов на персонал, что позволяет эффективно управлять кадровыми операциями.","Garna ofrece una visibilidad clara de las nóminas, el cumplimiento normativo, la incorporación de nuevos empleados y los costes de personal si desea gestionar las operaciones de RR. HH. de forma eficiente.","A Garna oferece visibilidade clara sobre payroll, conformidade, onboarding e custos da força de trabalho para quem pretende gerir operações de RH de forma eficiente.",mapped_by_draft_order
58,Why Companies Choose Garna,why.tabs.reporting.solution,"Our analytics and reporting platform gives you the insights and keeps your workforce costs under control. And with our API-first infrastructure, big businesses can integrate our reporting tools into their existing dashboards.","Наша платформа для аналитики и отчетности предоставляет вам необходимую информацию и позволяет держать расходы на персонал под контролем. А благодаря нашей инфраструктуре, ориентированной на API, крупные компании могут интегрировать наши инструменты для создания отчетов в свои текущие системы.","Nuestra plataforma de análisis y generación de informes te proporciona la información necesaria y mantiene tus costes de personal bajo control. Además, gracias a nuestra infraestructura basada en API, las grandes empresas pueden integrar nuestras herramientas de generación de informes en sus paneles de control existentes.","A nossa plataforma de analytics e relatórios fornece insights detalhados e ajuda a manter os custos da força de trabalho sob controlo. Além disso, com a nossa infraestrutura API-first, grandes empresas podem integrar as nossas ferramentas de relatórios nos dashboards já existentes.",mapped_by_draft_order
59,Why Companies Choose Garna,why.tabs.termination.label,Termination,Увольнение,Rescisión,Rescisão,mapped_by_draft_order
60,Why Companies Choose Garna,why.tabs.termination.title,Offboarding Compliantly In A Global Market,Оформление ухода из компании в соответствии с нормами на глобальном рынке,Gestión de bajas conforme a la normativa en un mercado global,Realizar offboarding em conformidade num mercado global,mapped_by_draft_order
61,Why Companies Choose Garna,why.tabs.termination.problem,"Offboarding employees is not easy per se, especially when you're dealing with different countries and different rules. Get it wrong — and you could be looking at some serious legal and compliance risks.","Увольнение сотрудников — это само по себе непростая задача, особенно когда речь идет о разных странах и разных правилах. Ошибка в этом вопросе может повлечь за собой серьезные юридические риски и риски несоблюдения нормативных требований.","La salida de empleados no es fácil de por sí, especialmente cuando se trata de diferentes países y normativas. Si se comete un error, podría enfrentarse a graves riesgos legales y de cumplimiento normativo.","O offboarding de funcionários não é simples, especialmente quando envolve diferentes países e diferentes regras. Um erro pode resultar em sérios riscos legais e de conformidade.",mapped_by_draft_order
62,Why Companies Choose Garna,why.tabs.termination.solution,Our termination workflows are tailored to the specific employment laws in each country so you can offboard employees with confidence.,"Наши процедуры увольнения разработаны с учетом особенностей трудового законодательства каждой страны, что позволяет вам с уверенностью проводить сокращение сотрудников.",Nuestros flujos de trabajo de rescisión se adaptan a la legislación laboral específica de cada país para que puedas gestionar la salida de empleados con confianza.,Os nossos workflows de rescisão são adaptados às leis laborais específicas de cada país para que possa realizar offboarding com total confiança.,mapped_by_draft_order
63,Is Garna EoR the Right Fit,fit.title,Is Garna Employer of Record the Right Fit for Your Business?,Подходит ли услуга официального работодателя от Garna для вашего бизнеса?,¿Es Garna Employer of Record la opción adecuada para tu empresa?,A solução Employer of Record da Garna é adequada para o seu negócio?,mapped_by_draft_order
64,Is Garna EoR the Right Fit,fit.items.1,You want to bring on international staff without going through the trouble of setting up an office in every country.,"Вы хотите нанимать сотрудников из разных стран, не утруждая себя открытием офисов в каждой из них.",Quieres contratar personal internacional sin tener que pasar por la molestia de establecer una oficina en cada país.,Pretende contratar funcionários internacionais sem ter de abrir escritórios em cada país.,mapped_by_draft_order
65,Is Garna EoR the Right Fit,fit.items.2,"You want to automate your global payroll, taxes, and compliance and never return to fiddling with manual work flows across multiple systems.","Вы хотите автоматизировать процесс оплаты труда, уплаты налогов и обеспечения соблюдения нормативных требований на глобальном уровне и больше никогда не возвращаться к ручной обработке данных в нескольких системах.","Quieres automatizar tu nómina global, los impuestos y el cumplimiento normativo, y no volver nunca más a lidiar con flujos de trabajo manuales en múltiples sistemas.","Pretende automatizar payroll global, impostos e conformidade sem voltar a lidar com workflows manuais em vários sistemas.",mapped_by_draft_order
66,Is Garna EoR the Right Fit,fit.items.3,"You already have international talent you want to hire but you need some help with paperwork, from contracts to onboarding to full compliance.","У вас уже есть иностранные специалисты, которых вы хотите принять на работу, но вам нужна помощь с оформлением документов — от заключения контрактов до адаптации новых сотрудников и обеспечения соответствия требованиям законодательства.","Ya tienes talento internacional que quieres contratar, pero necesitas ayuda con el papeleo, desde los contratos hasta la incorporación y el cumplimiento normativo.","Já possui talentos internacionais que pretende contratar, mas precisa de ajuda com documentação — desde contratos e onboarding até conformidade total.",mapped_by_draft_order
67,Is Garna EoR the Right Fit,fit.items.4,You want to scale up your distributed teams fast and avoid building the internal HR and payroll infrastructure.,Вы хотите быстро расширить свои удаленные команды и избежать создания внутренней инфраструктуры по управлению персоналом и оплатой труда.,Quieres ampliar rápidamente tus equipos distribuidos y evitar crear una infraestructura interna de RR. HH. y nóminas.,Pretende expandir rapidamente equipas distribuídas sem criar internamente infraestrutura de RH e payroll.,mapped_by_draft_order
68,Is Garna EoR the Right Fit,fit.items.5,You want to get contractors or full-time employees onboard and working quickly but without dealing with local labor laws.,"Вы хотите быстро нанять подрядчиков или штатных сотрудников и запустить их в работу, не углубляясь в местное трудовое законодательство.","Quieres incorporar a contratistas o empleados a tiempo completo y que empiecen a trabajar rápidamente, pero sin tener que lidiar con la legislación laboral local.",Pretende integrar rapidamente contratados ou funcionários full-time sem lidar diretamente com leis laborais locais.,mapped_by_draft_order
69,Is Garna EoR the Right Fit,fit.items.6,"You want a global employment partner that can handle all your multi-country payroll needs, contractor management, bank transfers, and cryptocurrency payouts wrapped up in one easy-to-use platform.","Вам нужен глобальный партнер по кадровым вопросам, который сможет решать все ваши международные задачи по оплате труда, управлению подрядчиками, банковским переводам и выплатам в криптовалюте — и всё это на одной удобной платформе.","Desea un socio de empleo global que pueda gestionar todas sus necesidades de nóminas en varios países, la gestión de contratistas, las transferencias bancarias y los pagos en criptomonedas, todo ello en una única plataforma fácil de usar.","Pretende um parceiro global de emprego capaz de gerir payroll multi-país, gestão de contratados, transferências bancárias e pagamentos em criptomoedas numa única plataforma simples de utilizar.",mapped_by_draft_order
70,Steps,steps.title,Steps to take with Garna:,Необходимые шаги с Garna:,Pasos a seguir con Garna:,Passos com a Garna:,mapped_by_draft_order
71,Steps,steps.items.companyAccount.title,Set up your company account,Создайте аккаунт своей компании,Crea tu cuenta de empresa,Configure a conta da sua empresa,mapped_by_draft_order
